,name,abbr_iau,abbr_nasa,genitive,origin,meaning,bs_name,abbr_upper,name_cn,area,ra,dec,quadrant,family,bs_name_bayer_cn,bs_name_cn
51,Lyra,Lyr,Lyra,Lyrae,ancient (Ptolemy),lyre / harp,Vega,LYR,天琴座,286.476,18 51.17,36 41.36,NQ4,武仙,天琴座α,织女一
52,Mensa,Men,Mens,Mensae,"1763, Lacaille, as Mons Mensæ",Table Mountain (South Africa),α Mensae,MEN,山案座,153.484,5 24.9,-77 30.24,SQ1,拉卡伊,山案座α,近附白一
53,Microscopium,Mic,Micr,Microscopii,"1763, Lacaille",microscope,γ Microscopii,MIC,显微镜座,209.513,20 57.88,-36 16.49,SQ4,拉卡伊,显微镜座γ,璃瑜增一
54,Monoceros,Mon,Mono,Monocerotis,"1613, Plancius",unicorn,β Monocerotis,MON,麒麟座,481.569,7 3.63,0 16.93,NQ2,猎户,麒麟座β,参宿增二十六
55,Musca,Mus,Musc,Muscae,"1603, Uranometria, created by Keyser and de Houtman",fly,α Muscae,MUS,苍蝇座,138.355,12 35.28,-70 9.66,SQ3,拜耳,苍蝇座α,蜜蜂三
56,Norma,Nor,Norm,Normae,"1763, Lacaille",carpenter's level,γ2 Normae,NOR,矩尺座,165.29,15 54.18,-51 21.09,SQ3,拉卡伊,矩尺座γ2,近波斯一
57,Octans,Oct,Octn,Octantis,"1763, Lacaille",octant (instrument),ν Octantis,OCT,南极座,291.045,23 0,-82 9.12,SQ4,拉卡伊,南极座ν,蛇尾三
58,Ophiuchus,Oph,Ophi,Ophiuchi,ancient (Ptolemy),serpent-bearer,Rasalhague,OPH,蛇夫座,948.34,17 23.69,-7 54.74,SQ3,黄道,蛇夫座α,候
59,Orion,Ori,Orio,Orionis,ancient (Ptolemy),Orion (mythological character),Rigel,ORI,猎户座,594.12,5 34.59,5 56.94,NQ1,猎户,猎户座β,参宿七
60,Pavo,Pav,Pavo,Pavonis,"1603, Uranometria, created by Keyser and de Houtman",peacock,Peacock,PAV,孔雀座,377.666,19 36.71,-65 46.89,SQ4,拜耳,孔雀座α,孔雀十一
61,Pegasus,Peg,Pegs,Pegasi,ancient (Ptolemy),Pegasus (mythological winged horse),Enif,PEG,飞马座,1120.794,22 41.84,19 27.98,NQ4,英仙,飞马座ε,危宿三
62,Perseus,Per,Pers,Persei,ancient (Ptolemy),Perseus (mythological character),Mirfak,PER,英仙座,614.997,3 10.5,45 0.79,NQ1,英仙,英仙座α,天船三
63,Phoenix,Phe,Phoe,Phoenicis,"1603, Uranometria, created by Keyser and de Houtman",phoenix,Ankaa,PHE,凤凰座,469.319,0 55.91,-48 34.84,SQ1,拜耳,凤凰座α,火鸟六
64,Pictor,Pic,Pict,Pictoris,"1763, Lacaille, as Equuleus Pictoris",easel,α Pictoris,PIC,绘架座,246.739,5 42.46,-53 28.45,SQ1,拉卡伊,绘架座α,金鱼增一
65,Pisces,Psc,Pisc,Piscium,ancient (Ptolemy),fishes,Alpherg,PSC,双鱼座,889.417,0 28.97,13 41.23,NQ1,黄道,双鱼座η,右更二
66,Piscis Austrinus,PsA,PscA,Piscis Austrini,ancient (Ptolemy),southern fish,Fomalhaut,PSA,南鱼座,245.375,22 17.07,-30 38.53,SQ4,幻之水,南鱼座α,北落师门
67,Puppis,Pup,Pupp,Puppis,"1763, Lacaille, split from Argo Navis",poop deck,Naos,PUP,船尾座,673.434,7 15.48,-31 10.64,SQ2,幻之水,船尾座ζ,弧矢增二十二
68,Pyxis,Pyx,Pyxi,Pyxidis,"1763, Lacaille",mariner's compass,α Pyxidis,PYX,罗盘座,220.833,8 57.16,-27 21.1,SQ2,幻之水,罗盘座α,天狗五
69,Reticulum,Ret,Reti,Reticuli,"1763, Lacaille",eyepiece graticule,α Reticuli,RET,网罟座,113.936,3 55.27,-59 59.85,SQ1,拉卡伊,网罟座α,夹白二
70,Sagitta,Sge,Sgte,Sagittae,ancient (Ptolemy),arrow,γ Sagittae,SGE,天箭座,79.932,19 39.05,18 51.68,NQ4,武仙,天箭座γ,左旗五
71,Sagittarius,Sgr,Sgtr,Sagittarii,ancient (Ptolemy),archer,Kaus Australis,SGR,射手座,867.432,19 5.94,-28 28.61,SQ4,黄道,人马座ε,箕宿三
72,Scorpius,Sco,Scor,Scorpii,ancient (Ptolemy),scorpion,Antares,SCO,天蝎座,496.783,16 53.24,-27 1.89,SQ3,黄道,天蝎座α,心宿二
73,Sculptor,Scl,Scul,Sculptoris,"1763, Lacaille",sculptor,α Sculptoris,SCL,玉夫座,474.764,0 26.28,-32 5.3,SQ1,拉卡伊,玉夫座α,近土司空南
74,Scutum,Sct,Scut,Scuti,"1690, Firmamentum Sobiescianum, Hevelius",shield (of Sobieski),α Scuti,SCT,盾牌座,109.114,18 40.39,-9 53.32,SQ4,武仙,盾牌座α,天弁一
75,Serpens,Ser,Serp,Serpentis,ancient (Ptolemy),snake,Unukalhai,SER,巨蛇座,636.928,16 57.04,6 7.32,NQ3,武仙,巨蛇座α,蜀/天市右垣七
76,Sextans,Sex,Sext,Sextantis,"1690, Firmamentum Sobiescianum, Hevelius",sextant,α Sextantis,SEX,六分仪座,313.515,10 16.29,-2 36.88,SQ2,武仙,六分仪座α,天相二
77,Taurus,Tau,Taur,Tauri,ancient (Ptolemy),bull,Aldebaran,TAU,金牛座,797.249,4 42.13,14 52.63,NQ1,黄道,金牛座α,毕宿五
78,Telescopium,Tel,Tele,Telescopii,"1763, Lacaille",telescope,α Telescopii,TEL,望远镜座,251.512,19 19.54,-51 2.21,SQ4,拉卡伊,望远镜座α,鳖一
79,Triangulum,Tri,Tria,Trianguli,ancient (Ptolemy),triangle,β Trianguli,TRI,三角座,131.847,2 11.07,31 28.56,NQ1,英仙,三角座β,天大将军九
80,Triangulum Australe,TrA,TrAu,Trianguli Australis,"1603, Uranometria, created by Keyser and de Houtman",southern triangle,Atria,TRA,南三角座,109.978,16 4.95,-65 23.28,SQ3,武仙,南三角座α,三角形三
81,Tucana,Tuc,Tucn,Tucanae,"1603, Uranometria, created by Keyser and de Houtman",toucan,α Tucanae,TUC,杜鹃座,294.557,23 46.64,-65 49.8,SQ4,拜耳,杜鹃座α,鸟喙一
82,Ursa Major,UMa,UMaj,Ursae Majoris,ancient (Ptolemy),great bear,Alioth,UMA,大熊座,1279.66,11 18.76,50 43.27,NQ2,大熊,大熊座ε,玉衡/北斗五
83,Ursa Minor,UMi,UMin,Ursae Minoris,ancient (Ptolemy),lesser bear,Polaris,UMI,小熊座,255.864,15 0,77 41.99,NQ3,大熊,小熊座α,勾陈一
84,Vela,Vel,Velr,Velorum,"1763, Lacaille, split from Argo Navis",sails,γ2 Velorum,VEL,船帆座,499.649,9 34.64,-47 10.03,SQ2,幻之水,船帆座γ,天社一
85,Virgo,Vir,Virg,Virginis,ancient (Ptolemy),virgin or maiden,Spica,VIR,室女座,1294.428,13 24.39,-4 9.51,SQ3,黄道,室女座α,角宿一
86,Volans,Vol,Voln,Volantis,"1603, Uranometria, created by Keyser and de Houtman, as Piscis Volans",flying fish,β Volantis,VOL,飞鱼座,141.354,7 47.73,-69 48.07,SQ2,拜耳,飞鱼座β,飞鱼三
87,Vulpecula,Vul,Vulp,Vulpeculae,"1690, Firmamentum Sobiescianum, Hevelius, as  Vulpecula cum Ansere",fox,Anser,VUL,狐狸座,268.165,20 13.88,24 26.56,NQ4,武仙,狐狸座α,齐增五
