,name_en,code,cons_abbr,name_cn,brightness,misc,top20,commonly_used
0,Acamar,q,Eri,天園六,2.91,,no,yes
1,Achernar,a,Eri,水委一,0.46,,yes,yes
2,Achird,h,Cas,王良三,3.6,d,no,no
3,Acrab,b,Sco,房宿四,2.55,d,no,no
4,Acrux,a,Cru,十字架二,0.79,d,yes,yes
5,Acubens,a,Cnc,柳宿增三,4.3,,no,yes
6,Adara,e,CMa,弧矢七,1.5,,no,no
7,Adhafera,x,Leo,軒轅十一,3.6,,no,yes
8,Adhara,e,CMa,弧矢七,1.5,,no,yes
9,Adhil,n,And,奎宿七,4.2,,no,no
10,Agena,b,Cen,馬腹一,0.61,,no,no
11,Ain,e,Tau,畢宿一,3.6,,no,no
12,Ain al Rami,m1,Sgr,斗宿三,4.8,,no,no
13,Ak,a,UMa,"天樞, 北
斗一",1.79,,no,no
14,Al Anchat al Nahr,t2,Eri,天苑九,4.8,,no,no
15,Al Anf,e,Peg,危宿三,2.39,d ,no,no
16,Al Anz,e,Aur,柱一(畢宿),2.99,v,no,no
17,Al Athfar,m,Lyr,織女增三,5.1,,no,no
18,Al Atik,o,Per ,卷舌增七,3.8,,no,no
19,Al Baldah,p,Sgr,建三,2.89,,no,no
20,Al Bali,e,Aqr,女宿一,3.8,,no,no
21,Al Chiba,a,Crv,右轄,4,,no,no
22,Al Dhanab,b,Gru,鶴二,2.1,,no,no
23,Al Dhanab,g,Gru,敗臼一,3.01,,no,no
24,Al Dhiba,i,Dra,"左樞  ,  
紫微左垣一",3.3,,no,no
25,Al Dhihi,i,Dra,"左
樞  ,  紫微左垣一",3.3,,no,no
26,Al Dibah,x,Dra,"上弼  ,  
紫微左垣四",3.2,,no,no
27,Al Gieba,g,Leo,軒轅十二,1.9,d,no,no
28,Al Giedi,a,Cap ,牛宿二,3.6,d,no,no
29,Al Hammam,x,Peg,雷電一,3.4,,no,no
30,"Al      
        Kaff al Jidmah",g,Cet,天囷八,3.5,d,no,no
31,Al Kalb al Asad,a,Leo,軒轅十四,1.35,d,no,no
32,"Al      
        Kalb al Rai",r,Cep,芻��一,5.5,,no,no
33,Al Kaphrah,c,UMa,太陽守,3.7,,no,no
34,Al Kirduh,x,Cep,天鉤六,4.3,d,no,no
35,Al Mankib,a,Ori,參宿四,0.5,v,no,no
36,Al Minliar al Asad,k,Leo,軒轅七,4.5,,no,no
37,Al Minliar al Ghurab,a,Crv,右轄,4,,no,no
38,Al Minliar al Shuja,s,Hya,柳宿二,4.4,,no,no
39,Al Mizar,b,And,奎宿九,2.06,,no,no
40,Al Na'ir,a,Gru,鶴一,1.74,,no,yes
41,Al Nair,a,Gru,鶴一,1.74,,no,no
42,Al Nasl,g,Sgr,箕宿一,2.99,,no,no
43,Al Nath,g,Dra,天棓四,2.23,,no,no
44,Al Niyat,s,Sco,心宿一,2.89,,no,no
45,Al Niyat,t,Sco,心宿三,2.82,,no,no
46,Al Rakis,n,Dra,天棓二,5,d,no,no
47,Al Rescha,a,Psc,外屏七,4.3,d,no,no
48,Al Richa,a,Psc,外屏七,4.3,d,no,no
49,Al Rijil,a,Cen,南門二,-0.27,d,no,no
50,Al Rischa,a,Psc,外屏七,4.3,d,no,no
51,Al Rukbah al Dajajah,w2,Cyg,"天津增三
十四",5.4,,no,no
52,Al Sanam al Nakah,b,Cas,王良一,2.27,,no,no
53,Al Sheratain,b,Ari,婁宿一,2.64,,no,no
54,Al Suhail al Muhlif,g,Vel,天社一,1.8,,no,no
55,Al Suhail al Wazn,l,Vel,天記,2.21,,no,no
56,Al Tarf,b,Cnc,柳宿增十,3.5,,no,no
57,Al Tinnin,a,Dra,"右
樞  ,  紫微右垣一",3.7,,no,no
58,Aladfar,h,Lyr,輦道二,4.4,,no,no
59,Aladfar,m,Lyr,織女增三,5.1,,no,no
60,Alamak,g,And,天大將軍一,2.26,d,no,no
61,Alanf,e,Peg,危宿三,2.39,d,no,no
62,Alanz,e,Aur,柱一(畢宿),2.99,v,no,no
63,Alaraph,a,Vir,角宿一,0.98,,no,no
64,Alaraph,b,Vir,"右執法,太微右垣一",3.6,,no,no
65,Alaraph,e,Vir,"東次將,太微左垣四",2.83,,no,no
66,Alascha,l,Sco,尾宿八,1.63,,no,no
67,Alasco,h,UMi,勾陳增九,5,,no,no
68,Alathfar,m,Lyr,織女增三,5.1,,no,no
69,Albaldah,p,Sgr,建三,2.89,,no,no
70,Albali,e,Aqr,女宿一,3.8,,no,yes
71,Albereo,b,Cyg,輦道增七,3.08,d,no,no
72,Albireo,b,Cyg,輦道增七,3.08,d,no,yes
73,Albireor,b,Cyg,輦道增七,3.08,d,no,no
74,Alcaid,h,UMa,"搖光,北斗七",1.86,,no,no
75,Alchiba,a,Crv,右轄,4,,no,yes
76,Alchita,a,Crv,右轄,4,,no,no
77,Alcor,80,UMa,開陽增一,4,,no,yes
78,Alcyone,h,Tau,昴宿六,2.87,,no,yes
79,Alcyone,x,Tau,天關,3,,no,no
80,Aldebaran,a,Tau,畢宿五,0.85,d,yes,yes
81,Alderaimin,a,Cep,天鉤五,2.44,,no,no
82,Alderamin,a,Cep,天鉤五,2.44,,no,yes
83,Aldhafara,x,Leo,軒轅十一,3.6,,no,no
84,Aldhafera,x,Leo,軒轅十一,3.6,,no,no
85,Aldhibah,x,Dra,"上弼,紫微左垣四",3.2,,no,no
86,Aldhibain,h,Dra,"少宰,紫微左垣三",2.74,,no,no
87,Aldib,d,Dra,天廚一,3.07,,no,no
88,Alfard,a,Hya,星宿一,1.98,,no,no
89,Alfecca,a,CrA,鱉六,4.1,,no,no
90,Alfecca Meridiana,a,CrA,鱉六,4.1,,no,no
91,Alfirk,b,Cep,上衛增一(紫微左垣),3.3,,no,yes
92,Alga,q,Ser,"徐,天市左垣七",4.5,,no,no
93,Algebar,b,Ori,參宿七,0.12,d,no,no
94,Algedi,a2,Cap,牛宿二,3.6,d,no,yes
95,Algedi Prima,a1,Cap,牛宿增六,4.2,,no,no
96,Algedi Secunda,a2,Cap,牛宿二,3.6,,no,no
97,Algeiba,g,Leo,軒轅十二,1.9,d,no,no
98,Algenib,g,Peg,壁宿一,2.83,,no,yes
99,Algenib,a,Per,天船三,1.79,,no,no
100,Algenubi,e,Leo,軒轅九,2.98,,no,no
101,Algieba,g,Leo,軒轅十二,1.9,d,no,yes
102,Algiedi,a,Cap,牛宿二,3.6,d,no,no
103,Algjebbath,h,Ori,參宿增三,3.4,,no,no
104,Algoers,d,Crv,軫宿三,2.95,d,no,no
105,Algol,b,Per,大陵五,2.12,v,no,yes
106,Algomeyla,b,CMi,南河二,2.9,,no,no
107,Algomeysa,a,CMi,南河三,0.38,,no,no
108,Algorab,d,Crv,軫宿三,2.95,d,no,yes
109,Algoral,d,Crv,軫宿三,2.95,d,no,no
110,Algorel,d,Crv,軫宿三,2.95,d,no,no
111,Alhajoth,a,Aur,五車二,0.08,,no,no
112,Alhena,g,Gem,井宿三,1.93,,no,yes
113,Aliath,e,UMa,"玉衡,北斗五",1.77,,no,no
114,Alifa,x,UMi,勾陳四,4.3,,no,no
115,Alioth,e,UMa,"玉衡,北斗五",1.77,,no,yes
116,Alkaffaljidhina,g,Cet,天囷八,3.5,d,no,no
117,Alkaid,h,UMa,"搖光,北斗七",1.86,,no,yes
118,Alkalurops,m,Boo,七公六,4.5,,no,yes
119,Alkaphrah,c,UMa,太陽守,3.7,,no,no
120,Alkaurops,m,Boo,七公六,4.5,,no,no
121,Alkes,a,Crt,翼宿一,4.2,,no,yes
122,Alkhiba,a,Crv,右轄,4,,no,no
123,Alkirdah,x,Cep,天鉤六,4.3,d,no,no
124,Alkurhah,x,Cep,天鉤六,4.3,d,no,no
125,Almaac,g,And,天大將軍一,2.26,d,no,no
126,Almaach,g,And,天大將軍一,2.26,d,no,no
127,Almaack,g,And,天大將軍一,2.26,d,no,no
128,Almaak,g,And,天大將軍一,2.26,d,no,no
129,Almaaz,e,Aur,柱一(畢宿),2.99,v,no,no
130,Almach,g,And,天大將軍一,2.26,d,no,yes
131,Almak,g,And,天大將軍一,2.26,d,no,no
132,Almeisan,g,Gem,井宿三,1.93,,no,no
133,Almuredin,e,Vir,"東次將,太微左垣四",2.83,,no,no
134,Alnair,a,Gru,鶴一,1.74,,no,no
135,Alnasl,g,Sgr,箕宿一,2.99,,no,yes
136,Alnasr,g,Sgr,箕宿一,2.99,,no,no
137,Alnath,a,Ari,婁宿三,2,,no,no
138,Alnath,g,Dra,天棓四,2.23,,no,no
139,Alnath,b,Tau,五車五,1.65,,no,no
140,Alnihan,e,Ori,參宿二,1.7,,no,no
141,Alnilam,e,Ori,參宿二,1.7,,no,yes
142,Alnitah,x,Ori,參宿一,1.76,,no,no
143,Alnitak,x,Ori,參宿一,1.76,,no,yes
144,Alnitam,e,Ori,參宿二,1.7,,no,no
145,Alniyat,s,Sco,心宿一,2.89,,no,no
146,Alphaca,a,CrB,貫索四,2.23,,no,no
147,Alphacca,a,CrB,貫索四,2.23,,no,no
148,Alphard,a,Hya,星宿一,1.98,,no,yes
149,Alphart,a,Hya,星宿一,1.98,,no,no
150,Alphecca,a,CrB,貫索四,2.23,,no,yes
151,Alphekka,a,CrB,貫索四,2.23,,no,no
152,Alpherat,a,And,壁宿二,2.06,,no,no
153,Alpheratz,a,And,壁宿二,2.06,,no,yes
154,Alphirk,b,Cep,上衛增一(紫微左垣),3.3,,no,no
155,Alrai,g,Cep,少衛增八(紫微左垣),3.9,,no,no
156,Alrakis,m,Dra,天棓增九,5.1,,no,yes
157,Alrami,a,Sgr,天淵三,4.1,,no,no
158,Alrescha,a,Psc,外屏七,4.3,d,no,yes
159,Alrischa,a,Psc,外屏七,4.3,d,no,no
160,Alrisha,a,Psc,外屏七,4.3,d,no,no
161,Alruccabah,a,UMi,"勾陳一,北極星",2.02,d,no,no
162,Alsafi,s,Dra,天廚二,4.7,,no,no
163,Alsahm,a,Sge,左旗一,4.4,,no,no
164,Alschain,b,Aql,河鼓一,3.7,,no,no
165,Alschairn,b,Aql,河鼓一,3.7,,no,no
166,Alsciaukat,31,Lyn,上台增四,4.3,,no,no
167,Alshain,b,Aql,河鼓一,3.7,,no,yes
168,Alshat,n,Cap,牛宿增七,4.6,,no,no
169,Alshemali,m,Leo,軒轅十,3.9,,no,no
170,Alsuhail,l,Vel,天記,2.21,,no,no
171,Altair,a,Aql,河鼓二,0.77,,yes,yes
172,Altais,d,Dra,天廚一,3.07,,no,yes
173,Altarf,b,Cnc,柳宿增十,3.5,,no,no
174,Alterf,l,Leo,軒轅八,4.3,,no,yes
175,Althafi,s,Dra,天廚二,4.7,,no,no
176,Althalimain,l,Aql,天弁七,3.6,,no,no
177,Aludra,h,CMa,弧矢二,2.45,,no,yes
178,Alula Australis,x,UMa,"下台二,三台六",3.9,,no,yes
179,Alula Australe,x,UMa,"下台二,三台六",3.9,,no,no
180,Alula Boreale,n,UMa,"下台一,三台五",3.7,,no,no
181,Alula Borealis,n,UMa,"下台一,三台五",3.7,,no,yes
182,Alwaid,b,Dra,天棓三,2.79,,no,no
183,Alwazl,g,Sgr,箕宿一,2.99,,no,no
184,Alwazn,d,CMa,弧矢一,1.84,,no,no
185,Alya,s,Ser,"徐,天市左垣七",4.5,,no,yes
186,Alzirr,x,Gem,井宿四,3.4,,no,no
187,Amazon Star,g,Ori,參宿五,1.64,,no,no
188,Ancha,q,Aqr,泣二,4.3,,no,yes
189,Anchat,t2,Eri,天苑九,4.8,,no,no
190,Angel Stern,a,UMi,"勾陳一,北極星",2.02,d,no,no
191,Angetenar,t2,Eri,天苑九,4.8,,no,no
192,Ankaa,a,Phe,火鳥六,2.39,,no,yes
193,Anser,a,Vul,齊增五,4.4,,no,no
194,Antares,a,Sco,心宿二,0.96,d,yes,yes
195,Antecanis,a,CMi,南河三,0.38,,no,no
196,Apollo,a,Gem,北河二,1.58,d,no,no
197,Arcturus,a,Boo,大角,-0.04,,yes,yes
198,Arich,g,Vir,"東上相,太微左垣二",2.75,d,no,no
199,Arided,a,Cyg,天津四,1.25,,no,no
200,Aridif,a,Cyg,天津四,1.25,,no,no
201,Arietis,a,Ari,婁宿三,2,,no,no
202,Arkab,b,Sgr,"天淵一,天淵二",4.3,d,no,yes
203,Arkeb Posterior,b2,Sgr,天淵一,4.5,,no,no
204,Arkeb Prior,b1,Sgr,天淵二,4.3,,no,no
205,Arneb,a,Lep,廁一,2.58,,no,yes
206,Arrai,g,Cep,少衛增八(紫微左垣),3.9,,no,no
207,Arrakis,m,Dra,天棓增九,5.1,,no,no
208,Arrioph,a,Cyg,天津四,1.25,,no,no
209,Asad Australis,e,Leo,軒轅九,2.98,,no,no
210,Ascella,x,Sgr,斗宿六,2.6,,no,yes
211,Aschere,a,CMa,天狼,-1.46,d,no,no
212,Asellus Australis,d,Cnc,鬼宿四,4.2,,no,yes
213,Asellus Borealis,g,Cnc,鬼宿三,4.7,,no,yes
214,Asellus Primus,q,Boo,天槍三,4.1,,no,no
215,Asellus Secundus,i,Boo,天槍二,4.8,,no,no
216,Asellus Tertius,k,Boo,天槍一,4.5,,no,no
217,Ashtaroth,a,CrB,貫索四,2.23,,no,no
218,Asmidiske,i,Car,海石二,2.25,,no,no
219,Asmidiske,x,Pup,弧矢增十七,3.5,,no,no
220,Aspidiske,i,Car,海石二,2.25,,no,yes
221,Aspidiske,x,Pup,弧矢增十七,3.5,,no,no
222,Asterion,b,CVn,常陳四,4.3,,no,no
223,Asterope,21,Tau,昴宿三,5.8,,no,no
224,Asuia,b,Dra,天棓三,2.79,,no,no
225,Atair,a,Aql,河鼓二,0.77,,no,no
226,Athafi,s,Dra,天廚二,4.7,,no,no
227,Athafiyy,s,Dra,天廚二,4.7,,no,no
228,Ati,o,Per,卷舌增七,3.8,,no,no
229,Atik,o,Per,卷舌增七,3.8,,no,yes
230,Atiks,o,Per,卷舌增七,3.8,,no,no
231,Atlas,27,Tau,昴宿七,3.8,,no,yes
232,Atria,a,TrA,三角形三,1.92,,no,yes
233,Auva,d,Vir,"東次相,太微左垣三",3.4,,no,no
234,Avior,e,Car,海石一,1.86,,no,yes
235,Azelfafage,p1,Cyg,螣蛇四,4.8,,no,no
236,Azha,h,Eri,天苑六,4.1,,no,yes
237,Azimech,a,Vir,角宿一,0.98,,no,no
238,Azmidiske,i,Car,海石二,2.25,,no,no
239,Azmidiske,x,Pup,弧矢增十七,3.5,,no,no
240,Baham,q,Peg,危宿二,3.5,,no,no
